learning_rate, batch_size, dropout_rate,accuracy
0.001,32,0.2,0.9762
0.001,32,0.5,0.9686
0.001,128,0.2,0.9743
0.001,128,0.5,0.9688
0.01,32,0.2,0.9650
0.01,32,0.5,0.9475
0.01,128,0.2,0.9688
0.01,128,0.5,0.9597
